Full Name,Email,phone Number
Ahmed Mohamed,ahmed.mohamed@mail.com,01234567891
Fatma Ali Hassan,ahmedali@email.net,01198765432
Moustafa Sayed,moustafa_sayed@domain.org,01011223344
Sara Khaled,sara.khaled@mymail.com,01556789012
Tarek Hesham,tarek.hesham@web.co,01270001122
Heba Gamal Mahmoud,heba.gamal@portal.eg,01133445566
Youssef Sameh,youssef.sameh@data.com,01099887766
Nada Adel,nada.adel@cloud.info,01501020304
Omar Ayman Abdullah,omar_ayman@test.net,01281234567
Lina Mahmoud,lina_mahmoud@corp.org,01154321098
Ali Mostafa,ali.mostafa@server.com,01009988771
Shaimaa Saeed,shaimaa.saeed@mail.net,01223344556
Maryam Galal,maryam.galal@site.info,01566778899
Khaled Hany Mohamed,khaled_hany@example.com,01140005550
Aya Raafat,aya.raafat@outlook.com,01019283746
Mazen Tarek,mazen.tarek@contact.co,01298765432
Mona Elgendy,mona.elgendy@comp.eg,01520304050
Amr Soliman,amr.soliman@solution.net,01177665544
Reem Adel,reem.adel@agency.org,01088776655
Mohamed Ahmed Ali,mohamed.ali@group.com,01230005555
Hossam Wael,hossam.wael@tech.info,01101010101
Salma Hussein,salma.hussin@online.net,01533445566
Karim Waleed,karim.waleed@office.com,01044556677
Dahlia Fawzy,dahlia.fawzy@work.eg,01267890123
Ehab Mahmoud,ehab_mahmoud@system.net,01112233445
Nouran Samir,nouran.samir@domain.co,01599887766
Gamal Kamal,gamal.kamal@company.org,01255443322
Shereen Reda,shereen.reda@connect.info,01033445566
Mahmoud El Sayed Ibrahim,mahmoud.sayed@mailserver.com,01180809090
Ahmed Samy,ahmed.samy@platform.net,01510102020
Hanaa Mokhtar,hanaa.mokhtar@service.eg,01241415151
Mosaab Nabil,mosaab.nabil@host.com,01077889900
Rania Wagdy,rania.wagdy@secure.net,01166778899
Basem Atef,basem.atef@cloudservices.org,01550506060
Manar Khaled,manar.khaled@solution.info,01289897878
Wessam Ramy,wessam.ramy@testmail.co,01020304050
Nadia Ismail,nadia.ismail@corp.eg,01100112233
Hesham Mamdouh,hesham.mamdouh@server.net,01570708080
Yumma Ali,yumma.ali@data.com,01290901010
Dina Gaber,dina.gaber@mail.info,01110002222
Ibrahim Mohamed Ahmed,ibrahim.mohamed@webmail.org,01030405060
Sherif Fouad,sherif.fouad@portal.net,01580809090
Asmaa Reda,asmaa.reda@site.com,01277778888
Maged Farouk,maged.farouk@comp.eg,01150006666
Saif El Din Karam,saif.karm@mailserver.net,01020203030
Mai Essam,mai.essam@connect.info,01260607070
Mohamed El Sayed,mohamed.elsayed@solution.co,01190908080
Marwa Khaled,marwa.khaled@domain.org,01540405050
Hossam Ali Ahmed,hossam.ali@system.net,01050506060
Nesrine Fayez,nesrine.fayez@work.com,01233445566
